model_id,dataset,record_id,transition,left_condition,right_condition,field,left_item_count,right_item_count,left_empty,right_empty,semantic_drift,left_schema_valid,right_schema_valid,both_schema_valid
gemma_3_12b_it,EBM-NLP,10070173,P1->P2,P1,P2,Participant,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P1->P2,P1,P2,Intervention,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P1->P2,P1,P2,Outcome,4,3,0,0,0.009041368961334229,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P2->P3,P2,P3,Participant,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P2->P3,P2,P3,Intervention,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P2->P3,P2,P3,Outcome,3,4,0,0,0.005340278148651123,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P3->P4,P3,P4,Participant,2,4,0,0,0.017696619033813477,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P3->P4,P3,P4,Intervention,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P3->P4,P3,P4,Outcome,4,1,0,0,0.07879185676574707,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P4->P5,P4,P5,Participant,4,3,0,0,0.00776362419128418,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P4->P5,P4,P5,Intervention,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P4->P5,P4,P5,Outcome,1,2,0,0,0.061349689960479736,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P5->P6,P5,P6,Participant,3,3,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P5->P6,P5,P6,Intervention,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10070173,P5->P6,P5,P6,Outcome,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P1->P2,P1,P2,Participant,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P1->P2,P1,P2,Intervention,4,2,0,0,0.04585307836532593,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P1->P2,P1,P2,Outcome,3,2,0,0,0.017098844051361084,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P2->P3,P2,P3,Participant,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P2->P3,P2,P3,Intervention,2,2,0,0,1.1920928955078125e-07,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P2->P3,P2,P3,Outcome,2,2,0,0,5.960464477539063e-08,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P3->P4,P3,P4,Participant,2,1,0,0,0.03603941202163696,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P3->P4,P3,P4,Intervention,2,2,0,0,1.1920928955078125e-07,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P3->P4,P3,P4,Outcome,2,2,0,0,5.960464477539063e-08,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P4->P5,P4,P5,Participant,1,2,0,0,0.006011605262756348,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P4->P5,P4,P5,Intervention,2,2,0,0,1.1920928955078125e-07,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P4->P5,P4,P5,Outcome,2,2,0,0,5.960464477539063e-08,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P5->P6,P5,P6,Participant,2,2,0,0,0.0,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P5->P6,P5,P6,Intervention,2,2,0,0,1.1920928955078125e-07,1,1,1
gemma_3_12b_it,EBM-NLP,10390665,P5->P6,P5,P6,Outcome,2,2,0,0,5.960464477539063e-08,1,1,1
gemma_3_12b_it,EBM-NLP,10475150,P1->P2,P1,P2,Participant,3,2,0,0,0.011407017707824707,1,1,1
gemma_3_12b_it,EBM-NLP,10475150,P1->P2,P1,P2,Intervention,3,5,0,0,0.00603562593460083,1,1,1
gemma_3_12b_it,EBM-NLP,10475150,P1->P2,P1,P2,Outcome,4,3,0,0,0.005936861038208008,1,1,1
